"","id","JS1","OC1","OC2","EP1","OC3","OC4","EP2","EP3","AC1","EP4","JS2","JS3","AC2","SI1","JS4","SI2","JS5","AC3","SI3","AC4","SI4","C1","C2","C3","AGE","EXP","JP","evasao"
"1",1,5,3,5,10,10,10,10,5,1,2,4,3,2,4,3,4,23.307571343062,1,3,1,3,2,1,2,42.0391353423314,6,5,TRUE
"2",2,3,0,5,10,3,7,10,10,2,7,4,3,1,5,2,4,42.6173631667087,1,4,1,4,2,2,2,32.1868622943639,5.75,4,FALSE
"3",3,4,6,10,10,10,10,10,10,1,7,2,2,4,5,3,5,60.477096297253,1,5,2,5,2,2,2,42.7737424263681,1,5,FALSE
"4",4,4,7,7,10,10,7,10,9,2,7,5,4,1,5,2,4,33.4183672703237,1,3,1,4,2,1,2,26.2259837204959,3,5,TRUE
"5",5,5,2,10,10,9,9,9,10,1,6,4,3,1,5,2,5,57.5385532772748,2,3,2,4,2,2,2,36.9213117345444,14,5,TRUE
"6",6,6,5,8,8,7,7,10,7,1,7,6,5,2,5,3,4,61.9430845275605,1,3,1,3,2,1,2,35.183731638322,8,4,FALSE
"7",7,2,6,10,9,10,9,9,9,2,6,3,6,4,5,4,5,10.9807512664858,3,5,3,4,2,2,2,44.2664736272938,12.5,5,FALSE
"8",8,2,4,9,10,9,7,10,10,1,7,2,1,1,3,1,4,21.083306472331,1,4,3,2,2,2,2,49.6425373237572,0.2,5,TRUE
"9",9,4,9,10,8,10,10,6,8,3,3,5,1,4,3,1,3,79.6905487962596,3,2,1,2,2,1,2,27.4537058677799,0.34,4,FALSE
"10",10,5,5,9,10,9,10,10,8,2,7,3,2,4,4,2,4,32.9595448257771,1,3,4,3,2,1,2,47.0738010827019,5.27495006463332,5,TRUE
"11",11,4,9,10,10,10,10,10,9,4,7,7,5,4,5,3,5,79.0933003923217,4,5,5,5,2,1,2,47.4038128985411,0.5,5,FALSE
"12",12,5,4,10,10,10,10,10,9,4,7,4,4,5,4,4,4,70.9149364290765,2,4,3,4,2,2,2,33.2036647369995,6.78641036171658,5,FALSE
"13",13,2,1,5,8,3,6,9,8,1,5,4,3,2,5,1,5,49.5681913293905,2,4,3,5,2,1,2,49.312974354717,10,5,FALSE
"14",14,4,0,0,8,9,8,8,8,1,5,4,3,1,3,3,3,70.4157132365642,1,2,1,3,2,2,2,39.7904943164112,5,5,FALSE
"15",15,4,7,9,9,9,9,9,9,2,6,4,4,5,4,2,5,41.7672755461793,2,3,4,3,2,1,2,47.4629002788988,7.84090881680689,5,FALSE
"16",16,4,4,10,8,10,10,10,10,4,7,4,5,2,5,4,5,65.9892331156941,4,3,3,3,2,2,2,40.5451412800197,5.85164474563689,4,TRUE
"17",17,3,4,9,9,9,8,10,10,3,6,4,2,3,5,2,5,53.1439332955679,5,3,4,4,2,2,2,45.7957440978671,12.9861655701157,5,FALSE
"18",18,5,7,10,10,10,10,10,10,2,7,6,3,3,5,3,5,91.6819875545464,3,5,1,5,2,1,2,33.1858443168414,10.9275163359048,5,TRUE
"19",19,3,7,10,10,10,10,10,9,1,7,2,4,2,5,1,5,54.9217144365167,1,5,2,5,2,1,2,51.5165298487701,11.4654188035084,3,FALSE
"20",20,5,6,10,10,10,10,10,9,1,7,4,3,2,4,3,4,57.8327911076728,2,3,3,2,2,2,2,47.1137653251851,11.5661689204585,5,FALSE
"21",21,2,5,3,10,7,4,10,10,1,7,4,2,1,5,2,4,44.5668614329284,3,3,1,3,2,1,2,37.2378378063937,5,3,FALSE
"22",22,6,6,10,10,10,10,10,10,3,7,4,5,5,5,4,5,94.4511030794387,4,5,6,5,2,2,2,57.8868075147163,9.19045627813862,5,FALSE
"23",23,3,5,10,10,10,10,10,10,3,7,4,1,2,5,1,5,26.9318193069715,2,3,3,4,2,1,2,41.087014906537,7.56880813569868,4,TRUE
"24",24,4,3,8,8,6,5,9,9,3,4,4,3,1,3,1,4,59.3146552041284,1,4,1,3,2,1,2,42.7830724705901,8.93127783105565,5,FALSE
"25",25,7,7,10,0,10,10,4,8,2,7,5,4,3,3,4,3,56.1734126602375,3,3,2,2,2,1,2,37.0562041421584,0.5,3,FALSE
"26",26,4,7,8,10,10,10,10,9,2,7,6,3,1,4,3,4,66.2594429976862,1,4,1,3,2,1,2,36.4270399035232,7.70814883729983,4,FALSE
"27",27,4,3,8,7,10,4,4,10,2,7,5,4,2,4,3,3,71.7291417629464,1,3,1,2,2,1,2,37.9474536628099,9.04400199060226,5,TRUE
"28",28,4,2,7,0,7,7,7,10,2,2,4,3,3,3,2,3,41.4066829413184,1,3,1,2,2,2,2,41.1677282261343,0.3,3,FALSE
"29",29,6,4,8,7,8,7,9,8,1,5,6,3,2,4,2,4,39.5794158279802,2,3,1,4,2,2,2,40.9010068472605,11.3580568893483,3,FALSE
"30",30,4,9,10,10,7,7,10,10,1,7,6,4,2,3,4,3,80.0923855752713,1,2,2,2,2,1,2,42.6807944383554,10.9267164856091,5,FALSE
"31",31,3,2,7,7,8,4,7,7,2,4,1,2,1,4,2,3,13.1073368919593,1,3,1,2,2,2,2,39.5881964678423,7.63345116899244,3,FALSE
"32",32,4,9,9,5,9,9,9,7,1,4,5,5,2,3,5,3,70.0205657962984,1,3,2,3,2,1,2,51.7144505290099,0.5,5,FALSE
"33",33,4,5,10,10,9,9,10,9,3,7,4,3,2,4,1,5,71.9562061776792,3,5,2,4,2,1,2,43.5756936295789,11.1926967198637,5,FALSE
"34",34,5,4,8,8,8,8,8,8,1,3,4,2,2,3,1,4,40.4956307316036,2,3,2,3,2,2,2,50.7074931074953,9.3718948895042,5,FALSE
"35",35,5,0,3,8,8,3,10,8,1,5,5,5,2,2,1,3,71.5296005536033,2,2,2,2,2,2,2,48.3531128011663,7.79101100780533,5,FALSE
"36",36,5,6,10,7,10,10,9,9,2,6,6,5,3,5,2,5,64.7810681896525,2,5,4,4,2,2,2,52.8813115651571,2,5,TRUE
"37",37,2,5,8,8,8,8,8,8,2,5,4,4,2,5,3,4,71.2250430421555,1,3,2,3,2,1,2,41.6875164469179,11.5088071533904,5,FALSE
"38",38,4,4,9,9,8,10,9,9,3,5,6,4,2,4,4,3,80.3269327302284,3,3,3,3,2,2,2,47.204511516989,7.08526912274852,4,FALSE
"39",39,3,7,10,10,8,8,10,10,3,7,2,2,5,4,1,4,29.3415367083967,4,3,2,3,2,1,2,32.2147087050146,9.72586333117576,5,FALSE
"40",40,3,3,10,9,10,10,10,10,1,7,5,3,1,5,1,5,34.2960795317179,1,4,3,4,2,1,2,52.6533448107146,8.79375707144371,5,FALSE
"41",41,5,2,8,10,8,8,10,10,3,7,4,4,2,3,3,4,49.2013125033063,3,3,2,3,2,2,2,38.9617430777252,6.7409202102946,5,FALSE
"42",42,4,6,10,9,10,9,10,10,1,7,4,3,3,3,2,5,71.320370245558,3,3,6,4,2,2,2,61.1612790537587,19.7100101593073,5,TRUE
"43",43,4,2,5,0,8,5,1,5,1,1,4,3,2,1,3,2,54.816476818376,1,1,2,1,2,2,2,51.0880524198779,7.74775205480772,3,FALSE
"44",44,4,8,10,10,10,10,10,10,1,7,4,4,2,4,3,4,62.8765901392943,1,3,1,4,2,2,2,36.102506157585,4.95244822173543,3,TRUE
"45",45,6,9,9,9,9,9,9,9,3,6,6,6,2,4,5,3,76.224765220517,2,4,3,4,2,1,2,41.4355333012424,2.64115251322506,5,FALSE
"46",46,4,2,8,8,8,8,3,8,2,5,6,4,3,4,5,4,79.0143661380635,2,3,1,3,2,2,2,44.1414027408438,8.36063287740303,2,FALSE
"47",47,3,0,2,7,8,2,6,8,1,5,3,1,1,2,1,4,36.346809400962,1,3,1,3,2,2,2,47.6258141046104,7.36351250226801,3,FALSE
"48",48,6,0,10,9,7,7,10,10,3,7,6,6,4,5,4,5,40.8242614181285,1,5,1,4,2,2,2,38.0317095186521,12.4817488800509,5,TRUE
"49",49,5,1,6,9,9,5,9,9,3,6,6,5,1,4,3,4,66.0462841056702,1,4,1,4,2,1,2,33.2289246402901,10.0166377035045,3,FALSE
"50",50,6,6,10,10,9,10,8,10,5,5,4,4,5,5,2,5,40.9804916904232,4,5,3,5,2,2,2,36.8298709371343,4.84506830189546,2,TRUE
"51",51,5,6,10,7,10,10,10,10,2,7,3,3,3,4,4,5,73.4640865401858,1,3,3,4,2,2,2,49.0336479503593,12.3332689953925,5,FALSE
"52",52,3,2,10,10,10,10,10,10,2,6,1,2,1,5,1,5,43.7835599950457,1,3,4,4,2,2,2,53.333166853478,10.3227742326494,5,FALSE
"53",53,7,0,4,10,10,3,10,10,1,7,5,2,1,5,5,4,96.4293739757129,1,3,2,4,2,2,2,47.6992575688443,11.7196525739523,2,TRUE
"54",54,3,6,7,5,7,7,5,5,1,1,3,2,1,2,1,2,31.4729327453471,1,1,1,2,2,2,2,45.4849848918785,10.5210088999335,2,FALSE
"55",55,3,1,10,10,8,10,7,10,1,7,5,3,1,4,3,4,64.7537904497531,1,3,1,3,2,1,2,34.2734585048362,0.139133192038638,5,FALSE
"56",56,5,6,6,3,10,10,10,10,2,7,3,3,3,1,3,1,66.5765228432093,3,2,3,1,2,2,2,42.7069884625138,8.37526857442701,5,FALSE
"57",57,5,7,8,6,8,8,7,7,4,4,4,5,6,4,2,4,55.5666307625822,5,3,6,3,2,1,2,53.4234254875728,13.2641633928485,5,TRUE
"58",58,4,9,10,10,8,8,10,10,1,7,5,4,2,5,2,5,51.1092762291119,1,3,2,4,2,1,2,40.3463864963821,13.2043464285573,3,FALSE
"59",59,5,4,10,10,10,10,10,10,2,7,7,5,2,4,5,5,64.851180498877,3,5,3,4,2,2,2,47.0752025260423,13.0443458844139,5,TRUE
"60",60,2,10,10,10,10,10,10,10,3,7,3,1,2,4,1,5,46.935926816126,3,5,5,4,2,2,2,50.2284843498446,17.9034260096119,5,TRUE
"61",61,4,6,10,10,10,10,10,10,3,7,5,3,1,5,3,5,59.3400235007727,3,1,3,4,2,2,2,41.2772790119026,14.869947880168,5,TRUE
"62",62,3,8,10,8,9,9,9,9,1,6,5,4,2,4,4,4,66.5380336325823,1,5,2,4,2,2,2,52.3026325079513,11.8011086575891,5,FALSE
"63",63,4,3,10,7,8,8,7,9,2,5,4,3,2,5,1,5,47.8633821088902,2,5,1,5,2,1,2,39.3989643715209,7.1914598614597,2,TRUE
"64",64,6,8,10,10,10,10,10,10,3,7,4,5,3,5,3,5,42.4202231130126,3,5,4,5,2,2,2,49.4462509551436,11.4635076275024,4,TRUE
"65",65,4,5,10,10,10,10,10,10,1,7,4,4,2,4,3,5,54.9530226401149,1,3,2,3,2,1,2,44.6292667319236,2.85935247628684,3,FALSE
"66",66,3,4,7,7,10,7,10,7,1,4,4,1,3,4,1,5,28.7621890415912,1,3,1,4,2,2,2,44.3899012199491,13.7785062845818,5,TRUE
"67",67,5,1,5,8,8,8,10,10,2,7,5,3,2,4,4,4,99.2471089705413,3,3,2,3,2,2,2,36.7277214790227,5.62737207045001,5,FALSE
"68",68,5,9,10,2,10,6,8,8,4,5,4,5,4,5,4,5,81.285778609676,3,3,4,4,2,1,2,44.387065168565,8.9690806364772,5,FALSE
"69",69,5,4,10,10,10,10,8,8,2,4,5,4,3,4,1,4,40.3891447459724,3,5,1,4,2,2,2,39.5493025062903,9.93709613942907,2,FALSE
"70",70,2,9,10,10,10,10,10,10,2,7,3,2,3,5,3,5,33.3631259047075,2,5,2,5,2,1,2,42.8836728490953,8.18534154997228,5,TRUE
"71",71,5,2,10,9,10,10,10,10,3,6,4,2,4,4,4,4,54.487795657376,4,5,3,4,2,2,2,34.5624538313863,5.033224037617,5,TRUE
"72",72,3,7,8,9,10,9,10,9,2,5,6,3,1,5,4,5,42.0589032887857,1,4,1,4,2,1,2,36.2893656221957,5.10558842055609,5,FALSE
"73",73,5,1,8,9,3,9,9,9,1,6,5,6,1,4,3,5,56.3931947461498,1,5,2,4,2,2,2,50.5448019204036,0.5,3,TRUE
"74",74,5,5,9,8,9,9,8,8,2,5,4,5,4,5,3,5,57.6707706372366,3,3,6,4,2,1,2,61.7786645083578,15.0646398365596,5,TRUE
"75",75,5,7,10,9,10,10,10,10,2,6,5,2,6,4,3,5,67.8115967113486,3,3,2,4,2,1,2,32.7875145914405,8.02169813702706,3,FALSE
"76",76,2,4,8,9,9,9,9,9,1,6,4,1,1,4,1,4,29.9569486872574,2,3,2,3,2,2,2,43.5150065010094,12.4362933691767,4,FALSE
"77",77,3,5,9,8,9,8,10,9,1,5,3,1,2,1,3,4,33.2555895551999,2,3,1,4,2,1,2,38.5137634918832,8.4056330794647,5,FALSE
"78",78,3,3,0,10,10,0,10,10,1,7,4,4,1,4,3,4,37.6025570740729,1,3,1,2,2,1,2,46.8931980695639,7.61094326671169,4,FALSE
"79",79,4,0,0,10,8,0,10,10,1,7,5,3,2,1,2,1,26.8499486017222,2,1,2,1,2,2,2,41.6630370346614,3.57678395090121,3,FALSE
"80",80,2,5,10,10,10,8,10,10,1,7,4,3,3,5,2,5,20.2453908865851,1,5,2,4,2,1,2,38.8094747268418,10.5723469366349,5,FALSE
"81",81,6,7,9,7,9,9,7,7,2,5,3,4,1,4,4,3,79.5119040449562,1,2,4,3,2,1,2,56.9244316960499,3.12173660556285,5,FALSE
"82",82,5,1,8,8,7,7,8,8,3,5,6,4,3,4,4,4,85.0316932593332,4,3,4,4,2,1,2,47.1460911895087,3.1021764557805,5,FALSE
"83",83,4,4,8,9,4,8,10,10,1,7,2,3,1,4,1,4,28.6069607324747,2,3,1,3,2,2,2,35.2378901158493,6.07000367714555,5,FALSE
"84",84,3,9,9,10,9,9,10,10,1,7,3,2,1,5,2,4,52.8242098887277,1,4,3,3,2,1,2,45.4292496744046,5.95911936549391,5,FALSE
"85",85,5,1,8,5,8,8,9,9,4,4,4,1,2,4,1,4,46.3639259500577,2,3,4,3,2,2,2,49.0345480864878,8.67532228961925,5,FALSE
"86",86,4,7,9,7,9,9,7,7,3,4,3,3,6,4,4,4,58.1426125912306,5,3,3,3,2,1,2,31.4438712381114,3.06422939500128,4,FALSE
"87",87,6,2,7,7,6,7,10,10,1,7,4,2,1,5,1,4,58.9306599885229,1,3,1,4,2,2,2,48.07133600361,8.1756981899559,4,FALSE
"88",88,6,6,10,10,10,10,10,10,1,7,6,2,2,5,2,5,67.4686098147075,2,3,2,3,2,2,2,41.3750438110298,9.64913641945873,4,FALSE
"89",89,4,6,10,7,10,10,9,9,3,5,3,2,1,5,2,5,28.272684245102,2,4,3,4,2,2,2,50.5621892994388,9.86906586806813,5,FALSE
"90",90,4,6,9,9,9,10,9,9,1,6,5,3,1,4,3,5,25.3096975491699,1,4,1,4,2,2,2,43.9199682894686,3.85153815553784,5,TRUE
"91",91,7,6,10,10,9,10,10,10,2,7,7,4,4,4,5,4,74.2745553626385,4,3,3,4,2,2,2,43.3926325010627,5.2853788098939,4,FALSE
"92",92,4,6,10,10,10,10,10,10,3,7,5,2,5,5,1,5,31.8312681636041,4,3,4,4,2,2,2,46.3086898584015,8.31078042411511,5,TRUE
"93",93,4,4,8,2,7,7,5,5,2,2,1,1,3,4,4,3,32.3939345430307,4,3,4,3,2,2,2,49.8227080598311,15.9603586714842,5,FALSE
"94",94,2,1,2,8,9,9,5,5,1,4,3,1,2,2,1,2,7.58137955955339,1,2,1,2,2,1,2,45.7288084214042,11.6074847174012,2,FALSE
"95",95,4,3,6,7,7,7,6,6,1,4,4,2,1,5,2,4,33.6924759750716,2,3,1,3,2,1,2,29.2386388688962,8.88713742127633,5,FALSE
"96",96,4,7,9,8,9,7,8,9,4,6,6,5,4,4,5,4,57.1554180433421,3,3,2,3,2,1,2,29.8197432834855,5.44508286880961,5,FALSE
"97",97,5,8,10,10,10,10,10,10,1,7,6,6,2,5,2,4,62.4050253656323,2,3,2,4,2,2,2,42.8725248455888,10.0977951446091,5,FALSE
"98",98,4,6,7,9,10,8,10,10,1,5,5,3,1,4,2,5,64.9910206112597,1,3,1,3,2,2,2,32.176352071612,8.42905311128038,5,FALSE
"99",99,4,4,2,9,8,5,9,9,2,7,6,3,3,4,4,4,40.4236975192205,1,4,2,3,2,2,2,45.9861311711955,1.67499047452656,4,TRUE
"100",100,3,9,10,10,10,10,10,10,2,7,4,1,2,4,2,4,42.181016486881,3,5,5,4,2,1,2,58.3793164187939,11.1691400219101,5,FALSE
"101",101,4,7,10,10,10,10,10,10,2,7,4,2,3,4,1,4,22.7410745128421,2,4,3,4,2,1,1,44.521400814739,10.9139040298697,4,FALSE
"102",102,3,7,8,8,8,8,8,8,1,5,4,3,2,3,1,2,14.3301643601383,1,1,3,1,2,1,1,45.8346572075973,9.72431528258862,3,FALSE
"103",103,2,1,4,7,4,4,4,7,2,1,4,2,1,2,2,2,29.8798527553603,3,2,2,1,2,1,1,37.3539587817785,11.4771758677822,5,FALSE
"104",104,6,3,6,10,8,8,10,10,1,7,6,2,1,5,3,4,68.0773370930596,1,3,1,4,2,1,1,37.5422421699488,4.09043501282798,5,FALSE
"105",105,4,2,8,8,8,8,8,8,2,5,2,2,1,4,1,4,41.0880371422808,2,3,1,3,2,2,1,38.6252712003159,5.73031460926721,5,TRUE
"106",106,3,4,9,9,9,8,9,9,1,5,4,2,1,3,3,4,57.3400672727413,2,3,1,3,2,2,1,36.5265785118619,8.30096691768909,5,FALSE
"107",107,5,9,9,6,9,9,7,7,4,3,5,2,4,3,1,3,40.758049732707,4,2,4,3,2,1,1,48.5830098698732,7.41961686396206,5,FALSE
"108",108,3,10,9,5,9,9,7,7,1,5,5,3,3,4,2,4,37.5286984940267,1,2,2,3,2,1,1,42.4835316833674,5.40736413450583,5,FALSE
"109",109,4,6,8,7,8,8,7,7,2,4,3,3,1,4,2,4,37.3088603793801,1,2,1,3,2,2,1,41.2468657780313,7.71544205254163,2,FALSE
"110",110,6,5,9,9,9,9,9,9,3,6,5,4,1,4,5,4,85.218549363047,2,4,1,4,2,1,1,43.5214622131351,14.670279822173,3,FALSE
"111",111,5,7,10,10,10,10,10,10,1,7,2,4,2,4,2,5,70.5008026630024,1,3,2,4,2,1,1,48.8881125761125,9.97448753387153,5,FALSE
"112",112,5,6,10,10,10,10,10,10,1,7,3,1,1,5,1,5,53.9188428920001,1,5,1,3,2,2,1,36.3010728764086,7.45790017512555,4,FALSE
"113",113,6,7,9,7,7,9,9,9,3,6,6,5,3,4,2,4,64.9511644448305,2,2,4,3,2,1,1,52.360318745916,9.39098724105743,5,FALSE
"114",114,4,2,9,8,9,8,9,8,1,5,5,4,1,4,3,4,64.8683349233542,1,2,1,2,2,2,1,38.1683794935162,5.5774978914164,5,FALSE
"115",115,4,2,6,6,7,8,7,7,2,4,4,4,1,4,2,4,64.8183684992848,1,3,2,3,2,2,1,49.1238589916305,15.2621279692797,3,FALSE
"116",116,2,3,8,8,8,8,8,8,1,5,4,1,2,3,2,3,33.9347102012664,1,2,1,3,2,1,1,38.8320457554234,5.41660439055241,5,FALSE
