funcionario;status;idade;prim_emp;teste;educ
X1001;mau;25a45;nao;82;superior
X1002;bom;25a45;nao;72;secundario
X1003;bom;maior45;nao;35;secundario
X1004;mau;25a45;nao;80;secundario
X1005;bom;maior45;nao;84;secundario
X1006;bom;25a45;nao;78;superior
X1007;bom;25a45;nao;83;secundario
X1008;mau;25a45;sim;94;superior
X1009;bom;25a45;nao;84;secundario
X1010;mau;maior45;sim;65;superior
X1011;bom;maior45;sim;89;secundario
X1012;bom;maior45;nao;77;secundario
X1013;bom;25a45;nao;87;secundario
X1014;mau;25a45;sim;77;secundario
X1015;bom;maior45;nao;75;secundario
X1016;bom;maior45;nao;77;secundario
X1017;bom;menor25;nao;95;secundario
X1018;bom;25a45;nao;98;secundario
X1019;bom;menor25;nao;95;superior
X1020;bom;25a45;nao;64;secundario
X1021;bom;25a45;nao;98;secundario
X1022;mau;25a45;sim;58;superior
X1023;bom;25a45;nao;83;secundario
X1024;bom;25a45;nao;88;secundario
X1025;bom;25a45;nao;68;superior
X1026;bom;menor25;sim;96;secundario
X1027;bom;25a45;sim;77;superior
X1028;mau;maior45;nao;62;secundario
X1029;bom;25a45;nao;61;secundario
X1030;mau;25a45;sim;94;superior
X1031;bom;maior45;sim;94;secundario
X1032;bom;maior45;nao;77;superior
X1033;bom;25a45;sim;78;secundario
X1034;bom;maior45;sim;61;secundario
X1035;bom;25a45;sim;58;secundario
X1036;bom;25a45;sim;79;secundario
X1037;bom;menor25;sim;97;superior
X1038;bom;maior45;sim;71;secundario
X1039;bom;25a45;sim;75;secundario
X1040;mau;25a45;sim;74;superior
X1041;bom;maior45;sim;68;secundario
X1042;bom;maior45;nao;58;secundario
X1043;bom;25a45;sim;73;secundario
X1044;mau;maior45;sim;55;superior
X1045;bom;25a45;nao;71;secundario
X1046;bom;25a45;sim;92;superior
X1047;bom;menor25;nao;93;secundario
X1048;mau;25a45;sim;53;secundario
X1049;bom;25a45;nao;67;secundario
X1050;mau;maior45;sim;65;superior
X1051;bom;maior45;nao;76;secundario
X1052;mau;25a45;sim;66;secundario
X1053;bom;25a45;nao;80;secundario
X1054;mau;25a45;nao;98;secundario
X1055;bom;25a45;nao;71;superior
X1056;mau;25a45;nao;77;secundario
X1057;mau;maior45;sim;92;superior
X1058;bom;25a45;nao;71;superior
X1059;bom;maior45;sim;85;secundario
X1060;bom;25a45;nao;71;secundario
X1061;mau;maior45;sim;40;secundario
X1062;bom;25a45;nao;86;superior
X1063;bom;25a45;nao;99;secundario
X1064;bom;maior45;sim;76;superior
X1065;mau;maior45;sim;56;superior
X1066;bom;menor25;sim;96;secundario
X1067;bom;25a45;nao;84;secundario
X1068;bom;menor25;sim;84;secundario
X1069;mau;maior45;nao;37;secundario
X1070;bom;maior45;nao;80;secundario
X1071;bom;25a45;nao;78;secundario
X1072;bom;25a45;sim;93;secundario
X1073;bom;25a45;sim;83;secundario
X1074;mau;maior45;nao;73;secundario
X1075;bom;menor25;nao;93;secundario
X1076;bom;25a45;nao;81;secundario
X1077;bom;maior45;sim;80;superior
X1078;bom;25a45;sim;83;secundario
X1079;bom;maior45;sim;49;superior
X1080;bom;25a45;nao;95;secundario
X1081;bom;maior45;nao;84;secundario
X1082;bom;maior45;sim;52;secundario
X1083;bom;25a45;nao;70;secundario
X1084;bom;maior45;sim;67;superior
X1085;bom;25a45;sim;93;secundario
X1086;bom;maior45;sim;78;secundario
X1087;bom;25a45;nao;91;secundario
X1088;bom;25a45;nao;75;secundario
X1089;bom;25a45;nao;88;secundario
X1090;bom;25a45;sim;86;secundario
X1091;bom;25a45;sim;80;secundario
X1092;bom;maior45;sim;76;secundario
X1093;bom;maior45;nao;71;superior
X1094;bom;maior45;sim;90;secundario
X1095;bom;maior45;sim;67;secundario
X1096;bom;maior45;nao;66;secundario
X1097;bom;25a45;sim;79;secundario
X1098;bom;25a45;sim;77;superior
X1099;bom;maior45;sim;78;superior
X1100;bom;menor25;sim;96;secundario
X1101;bom;menor25;nao;97;secundario
X1102;bom;25a45;sim;81;secundario
X1103;bom;maior45;nao;78;secundario
