IDENTIDADE;ALVO;STATUS;UF;ESCOLARIDADE;ESTCIV;RENDA;NATUREZA
MC1001;0;inad;SP;secundario;solt;3886;outros
MC1002;1;admpl;MG;secundario;casado;3870;vivederenda
MC1003;1;admpl;SP;superior;solt;2010;empregado
MC1004;1;admpl;SP;posgrad;solt;2441;func_publico
MC1005;0;inad;SP;primario;divorciado;1139;func_publico
MC1006;1;admpl;SP;primario;casado;61;empregado
MC1007;0;inad;SP;secundario;solt;2394;func_publico
MC1008;1;admpl;SP;superior;casado;1452;func_publico
MC1009;0;inad;SP;secundario;solt;3059;empregado
MC1010;1;admpl;SP;primario;solt;671;empregado
MC1011;1;admpl;MG;superior;casado;1472;empregado
MC1012;1;admpl;SP;posgrad;solt;1152;outros
MC1013;0;inad;SP;superior;solt;2412;empregado
MC1014;1;admpl;MG;secundario;casado;1405;empregado
MC1015;1;admpl;SP;superior;solt;738;outros
MC1016;1;admpl;SP;superior;casado;1598;empregado
MC1017;1;admpl;SP;primario;solt;696;empregado
MC1018;1;admpl;SP;superior;casado;931;autonomo
MC1019;1;admpl;SP;secundario;solt;6432;func_publico
MC1020;1;admpl;SP;secundario;solt;4020;outros
MC1021;1;admpl;SP;superior;solt;4767;autonomo
MC1022;1;admpl;SP;posgrad;solt;5780;empregado
MC1023;1;admpl;SP;superior;solt;1072;func_publico
MC1024;1;admpl;SP;primario;solt;1340;func_publico
MC1025;1;admpl;SP;superior;solt;1340;func_publico
MC1026;0;inad;SP;primario;solt;2267;autonomo
MC1027;0;inad;SP;superior;solt;804;empregado
MC1028;0;inad;SP;secundario;solt;3895;empregado
MC1029;1;admpl;SP;primario;solt;1340;outros
MC1030;0;inad;SP;superior;solt;1451;aposentado
MC1031;0;inad;SP;primario;divorciado;443;aposentado
MC1032;1;admpl;SP;superior;casado;938;func_publico
MC1033;0;inad;SP;secundario;solt;3575;empregado
MC1034;1;admpl;SP;primario;casado;5360;outros
MC1035;1;admpl;SP;posgrad;solt;7772;outros
MC1036;0;inad;SP;secundario;casado;2144;aposentado
MC1037;0;inad;SP;secundario;solt;8523;func_publico
MC1038;0;inad;SP;primario;solt;4690;outros
MC1039;0;inad;SP;posgrad;divorciado;1511;outros
MC1040;1;admpl;SP;secundario;solt;1737;func_publico
MC1041;0;inad;SP;secundario;solt;9069;outros
MC1042;0;inad;SP;secundario;solt;1323;aposentado
MC1043;0;inad;SP;secundario;viuvo;4949;empregado
MC1044;0;inad;SP;secundario;solt;197;func_publico
MC1045;0;inad;SP;superior;casado;4556;empregado
MC1046;1;admpl;SP;superior;viuvo;2010;aposentado
MC1047;1;admpl;SP;posgrad;solt;5677;empregado
MC1048;0;inad;SP;secundario;divorciado;2590;empregado
MC1049;1;admpl;SP;primario;casado;472;empregado
MC1050;1;admpl;SP;primario;casado;1005;empregado
MC1051;1;admpl;MG;superior;solt;1395;func_publico
MC1052;0;inad;SP;primario;solt;2493;empregado
MC1053;0;inad;SP;secundario;solt;18414;empregado
MC1054;1;admpl;SP;secundario;solt;1873;empregado
MC1055;0;inad;SP;superior;solt;2412;aposentado
MC1056;1;admpl;SP;secundario;solt;2680;empregado
MC1057;0;inad;SP;secundario;solt;1841;aposentado
MC1058;0;inad;SP;superior;solt;1340;empregado
MC1059;0;inad;SP;secundario;viuvo;2067;func_publico
MC1060;0;inad;SP;secundario;viuvo;4020;outros
MC1061;1;admpl;SP;posgrad;solt;4052;outros
MC1062;0;inad;SP;primario;solt;5323;outros
MC1063;0;inad;SP;secundario;solt;5404;func_publico
MC1064;0;inad;SP;secundario;solt;9458;func_publico
MC1065;0;inad;SP;secundario;solt;3236;aposentado
MC1066;0;inad;SP;primario;divorciado;893;func_publico
MC1067;0;inad;SP;secundario;solt;13400;empregado
MC1068;0;inad;SP;secundario;solt;16458;func_publico
MC1069;1;admpl;SP;superior;casado;464;empregado
MC1070;0;inad;SP;posgrad;solt;1340;empresario
MC1071;0;inad;SP;superior;casado;4301;empregado
MC1072;0;inad;SP;secundario;solt;28726;func_publico
MC1073;1;admpl;SP;primario;solt;2091;outros
MC1074;0;inad;SP;secundario;viuvo;1374;aposentado
MC1075;0;inad;SP;secundario;solt;8571;func_publico
MC1076;0;inad;SP;secundario;divorciado;3264;func_publico
MC1077;1;admpl;SP;secundario;solt;2010;empregado
MC1078;0;inad;SP;superior;solt;1340;vivederenda
MC1079;1;admpl;SP;secundario;solt;4911;empregado
MC1080;0;inad;SP;secundario;casado;67000;func_publico
MC1081;1;admpl;MG;secundario;solt;1567;vivederenda
MC1082;1;admpl;SP;superior;solt;1460;empregado
MC1083;1;admpl;MG;secundario;casado;4001;empregado
MC1084;0;inad;SP;posgrad;casado;13400;outros
MC1085;0;inad;SP;superior;divorciado;1313;aposentado
MC1086;1;admpl;MG;superior;casado;380;empregado
MC1087;0;inad;SP;primario;solt;4288;empregado
MC1088;0;inad;SP;secundario;solt;3484;empregado
MC1089;0;inad;SP;primario;solt;783;outros
MC1090;0;inad;SP;superior;viuvo;2358;func_publico
MC1091;1;admpl;SP;posgrad;solt;1991;empregado
MC1092;1;admpl;SP;primario;solt;813;empregado
MC1093;1;admpl;SP;secundario;solt;3350;empregado
