date,index,brlToUsd,brlToYen,brlToEur,brlToGdp
01/1922,81.3,,,,
02/1922,85.46,,,,
03/1922,89.05,,,,
04/1922,92.74,,,,
05/1922,95.63,,,,
06/1922,92.93,,,,
07/1922,97.05,,,,
08/1922,100.78,,,,
09/1922,96.3,,,,
10/1922,96.11,,,,
11/1922,94.65,,,,
12/1922,98.73,,,,
01/1923,97.43,,,,
02/1923,103.9,,,,
03/1923,102.75,,,,
04/1923,98.38,,,,
05/1923,97.53,,,,
06/1923,87.85,,,,
07/1923,86.91,,,,
08/1923,93.46,,,,
09/1923,87.89,,,,
10/1923,88.53,,,,
11/1923,92.34,,,,
12/1923,95.52,,,,
01/1924,100.66,,,,
02/1924,97.22,,,,
03/1924,93.01,,,,
04/1924,90.63,,,,
05/1924,89.9,,,,
06/1924,96.37,,,,
07/1924,102.14,,,,
08/1924,105.16,,,,
09/1924,103.16,,,,
10/1924,104.06,,,,
11/1924,111.38,,,,
12/1924,120.51,,,,
01/1925,123.22,,,,
02/1925,122.71,,,,
03/1925,116.75,,,,
04/1925,120.01,,,,
05/1925,129.95,,,,
06/1925,131.01,,,,
07/1925,133.81,,,,
08/1925,141.18,,,,
09/1925,143.46,,,,
10/1925,156.52,,,,
11/1925,151.08,,,,
12/1925,156.66,,,,
01/1926,157.44,,,,
02/1926,154.45,,,,
03/1926,140.46,,,,
04/1926,143.71,,,,
05/1926,143.43,,,,
06/1926,153.04,,,,
07/1926,160.47,,,,
08/1926,162.51,,,,
09/1926,158.19,,,,
10/1926,150.38,,,,
11/1926,156.55,,,,
12/1926,157.2,,,,
01/1927,156.41,,,,
02/1927,161.96,,,,
03/1927,160.08,,,,
04/1927,164.21,,,,
05/1927,172.96,,,,
06/1927,166.23,,,,
07/1927,172.61,,,,
08/1927,189.79,,,,
09/1927,197.59,,,,
10/1927,181.73,,,,
11/1927,198.21,,,,
12/1927,202.4,,,,
01/1928,198.59,,,,
02/1928,194.78,,,,
03/1928,213.35,,,,
04/1928,211.63,,,,
05/1928,219.81,,,,
06/1928,210.55,,,,
07/1928,216,,,,
08/1928,240.41,,,,
09/1928,239.43,,,,
10/1928,252.16,,,,
11/1928,293.38,,,,
12/1928,300,,,,
01/1929,317.51,,,,
02/1929,317.41,,,,
03/1929,308.85,,,,
04/1929,319.29,,,,
05/1929,297.41,,,,
06/1929,333.79,,,,
07/1929,347.7,,,,
08/1929,380.33,,,,
09/1929,343.45,,,,
10/1929,273.51,,,,
11/1929,238.95,,,,
12/1929,248.48,,,,
01/1930,267.14,,,,
02/1930,271.11,,,,
03/1930,286.1,,,,
04/1930,279.23,,,,
05/1930,275.07,,,,
06/1930,226.34,,,,
07/1930,233.99,,,,
08/1930,240.42,,,,
09/1930,204.9,,,,
10/1930,183.35,,,,
11/1930,183.39,,,,
12/1930,164.58,,,,
01/1931,167.55,,,,
02/1931,189.66,,,,
03/1931,172.36,,,,
04/1931,151.19,,,,
05/1931,128.46,,,,
06/1931,150.18,,,,
07/1931,135.39,,,,
08/1931,139.41,,,,
09/1931,96.61,,,,
10/1931,105.43,,,,
11/1931,93.87,,,,
12/1931,77.9,,,,
01/1932,76.19,,,,
02/1932,81.44,,,,
03/1932,73.28,,,,
04/1932,56.11,,,,
05/1932,44.74,,,,
06/1932,42.84,,,,
07/1932,54.26,,,,
08/1932,73.16,,,,
09/1932,71.56,,,,
10/1932,61.9,,,,
11/1932,56.35,,,,
12/1932,59.93,,,,
01/1933,60.9,,,,
02/1933,51.39,,,,
03/1933,55.4,,,,
04/1933,77.66,,,,
05/1933,88.11,,,,
06/1933,98.14,,,,
07/1933,90.77,,,,
08/1933,102.41,,,,
09/1933,94.82,,,,
10/1933,88.16,,,,
11/1933,98.14,,,,
12/1933,99.9,,,,
01/1934,108.95,,,,
02/1934,103.18,,,,
03/1934,101.96,,,,
04/1934,100.62,,,,
05/1934,91.79,,,,
06/1934,94.8,,,,
07/1934,90.57,,,,
08/1934,92.64,,,,
09/1934,92.63,,,,
10/1934,93.36,,,,
11/1934,102.94,,,,
12/1934,104.04,,,,
01/1935,101.69,,,,
02/1935,102.38,,,,
03/1935,100.81,,,,
04/1935,109.45,,,,
05/1935,110.64,,,,
06/1935,118.21,,,,
07/1935,126.23,,,,
08/1935,127.89,,,,
09/1935,131.92,,,,
10/1935,139.74,,,,
11/1935,142.35,,,,
12/1935,144.13,,,,
01/1936,149.49,,,,
02/1936,152.15,,,,
03/1936,156.34,,,,
04/1936,145.67,,,,
05/1936,152.64,,,,
06/1936,157.69,,,,
07/1936,164.86,,,,
08/1936,166.29,,,,
09/1936,167.82,,,,
10/1936,177.19,,,,
11/1936,183.22,,,,
12/1936,179.9,,,,
01/1937,185.74,,,,
02/1937,187.3,,,,
03/1937,186.41,,,,
