date,salary,rawSteelProd
01/1970,,438.6
02/1970,,387.7
03/1970,,431.2
04/1970,,416.3
05/1970,,449.3
06/1970,,458.3
07/1970,,469.2
08/1970,,463.1
09/1970,,464.2
10/1970,,479.2
11/1970,,462.7
12/1970,,469.8
01/1971,,492.1
02/1971,,442.5
03/1971,,463.9
04/1971,,435.1
05/1971,,499.8
06/1971,,497.6
07/1971,,526.4
08/1971,,530.2
09/1971,,519.1
10/1971,,552.2
11/1971,,526.8
12/1971,,524.9
01/1972,,515.6
02/1972,,485.8
03/1972,,509.7
04/1972,,519.8
05/1972,,557.5
06/1972,,541.8
07/1972,,573
08/1972,,552.8
09/1972,,542.3
10/1972,,577.8
11/1972,,556.7
12/1972,,584.9
01/1973,,569.5
02/1973,,515.7
03/1973,,568.1
04/1973,,558.2
05/1973,,609.2
06/1973,,600.3
07/1973,,569.7
08/1973,,582
09/1973,,614.7
10/1973,,671.7
11/1973,,646.1
12/1973,,643.9
01/1974,,625.4
02/1974,,569.4
03/1974,,623.9
04/1974,,617.6
05/1974,,663.5
06/1974,,651.4
07/1974,,662
08/1974,,636.7
09/1974,,617.6
10/1974,,633.6
11/1974,,589.6
12/1974,,616.5
01/1975,,629.5
02/1975,,559.4
03/1975,,662.1
04/1975,,672.4
05/1975,,749.7
06/1975,,729.2
07/1975,,741.3
08/1975,,702.9
09/1975,,683.5
10/1975,,697.6
11/1975,,731.7
12/1975,,748.7
01/1976,,731.6
02/1976,,696
03/1976,,742.7
04/1976,,718.1
05/1976,,757.6
06/1976,,738.3
07/1976,,788.5
08/1976,,832.3
09/1976,,812.5
10/1976,,767.5
11/1976,,757
12/1976,,826.9
01/1977,,864.1
02/1977,,823
03/1977,,945.4
04/1977,,911.3
05/1977,,953.6
06/1977,,918.6
07/1977,,950.1
08/1977,,966.6
09/1977,,868.4
10/1977,,971.9
11/1977,,981.4
12/1977,,1009
01/1978,,963
02/1978,,879.7
03/1978,,982.5
04/1978,,971.1
05/1978,,996.6
06/1978,,901.2
07/1978,,980.1
08/1978,,1016.7
09/1978,,1065.6
10/1978,,1116.3
11/1978,,1071.8
12/1978,,1162.3
01/1979,,1120.3
02/1979,,903.6
03/1979,,1128.2
04/1979,,1139
05/1979,,1164.1
06/1979,,1158.1
07/1979,,1206.7
08/1979,,1221.9
09/1979,,1193.7
10/1979,,1255.5
11/1979,,1169.6
12/1979,,1230.2
01/1980,,1220.1
02/1980,,1172.3
03/1980,,1271.1
04/1980,,1250.1
05/1980,,1330
06/1980,,1266.6
07/1980,,1313.3
08/1980,,1289.4
09/1980,,1262.6
10/1980,,1351
11/1980,,1321
12/1980,,1289.6
01/1981,,1308.9
02/1981,,1197.5
03/1981,,1296.3
04/1981,,1136.5
05/1981,,1184.5
06/1981,,1052.5
07/1981,,980.9
08/1981,,1012.4
09/1981,,992.7
10/1981,,1022.1
11/1981,,970.2
12/1981,,1071.2
01/1982,,1073.4
02/1982,,994.8
03/1982,,1011.3
04/1982,,976.5
05/1982,,1071.4
06/1982,,1055.6
07/1982,,1238.1
08/1982,,1210.9
09/1982,,1174.7
10/1982,,1172
11/1982,,1069.1
12/1982,,946.9
01/1983,,1059.4
02/1983,,1085.9
03/1983,,1128.4
04/1983,,1159.9
05/1983,,1246.4
06/1983,,1199.9
07/1983,,1278.2
08/1983,,1309.8
09/1983,,1287.2
10/1983,,1324.8
11/1983,,1313.5
12/1983,,1446.6
01/1984,,1464.5
02/1984,,1376.8
03/1984,,1522.6
04/1984,,1533.6
05/1984,,1590.9
06/1984,,1475.2
07/1984,,1581
08/1984,,1633.5
09/1984,,1514.6
10/1984,,1586
11/1984,,1527.7
12/1984,,1579.5
01/1985,,1490.1
02/1985,,1424.2
03/1985,, - 
04/1985,,1563.4
05/1985,,1756.4
06/1985,,1689.8
07/1985,,1858.7
08/1985,,1796.9
09/1985,,1774.9
10/1985,,1794.3
11/1985,,1765
12/1985,,1864.9
01/1986,,1769.8
02/1986,,1583.5
03/1986,,1737.6
04/1986,,1635.7
05/1986,,1819
06/1986,,1712.3
07/1986,,1664.8
08/1986,,1824.7
09/1986,,1891.2
10/1986,,1932.7
11/1986,,1790.6
12/1986,,1870.9
01/1987,,1896.9
02/1987,,1727.7
03/1987,,1725.3
04/1987,,1646.8
05/1987,,1737.1
06/1987,,1684.6
07/1987,,1843.2
08/1987,,1928.3
09/1987,,1985.1
10/1987,,2056.6
11/1987,,2006
12/1987,,1991
01/1988,,2052.5
02/1988,,1911.4
03/1988,,2109.7
04/1988,,1918
05/1988,,1920.2
06/1988,,1993.4
07/1988,,2103.4
08/1988,,2178.8
09/1988,,2195.9
10/1988,,2244.8
