year,gdp
1948,9.7
1949,7.7
1950,6.8
1951,4.9
1952,7.3
1953,4.7
1954,7.8
1955,8.8
1956,2.9
1957,7.7
1958,10.8
1959,9.8
1960,9.4
1961,8.6
1962,6.6
1963,0.6
1964,3.4
1965,2.4
1966,6.7
1967,4.2
1968,9.8
1969,9.5
1970,10.4
1971,11.3
1972,11.9
1973,14.0
1974,8.2
1975,5.2
1976,10.3
1977,4.9
1978,5.0
1979,6.8
1980,9.2
1981,-4.3
1982,0.8
1983,-2.9
1984,5.4
1985,7.8
1986,7.5
1987,3.5
1988,-0.1
1989,3.2
1990,-4.3
1991,1.0
1992,-0.5
1993,4.9
1994,5.9
1995,4.2
1996,2.2
1997,3.4
1998,0.3
1999,0.5
2000,4.4
2001,1.4
2002,3.1
2003,1.1
2004,5.8
2005,3.2
2006,4.0
2007,6.1
2008,5.1
2009,-0.1
2010,7.5
2011,4.0
2012,1.9
2013,3.0
2014,0.5
2015,-3.8
2016,-3.6
